"Title","Continent","Habitat","has research problem","hypothesis","Indicator for enemy release","Investigated species","Number of species","Release of which kind of enemies?","Research Method","stand of hypothesis","Study date","Sub-hypothesis","type of experiment","Which species are compared?"
"Biotic resistance via granivory: establishment by invasive, naturalized, and native asters reflects generalist preference","North-America","terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","4","Generalists","Experimental","Undecided","2011","P AN","Enclosure","Aliens and natives"
"Island invasion by a threatened tree species: evidence for natural enemy release of mahogany (Swietenia macrophylla) on Dominica, Lesser Antilles","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Supported","2011","HAD","Enclosure","Aliens in native and invaded range"
"Island invasion by a threatened tree species: evidence for natural enemy release of mahogany (Swietenia macrophylla) on Dominica, Lesser Antilles","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2011","AND","Field","Aliens and natives"
"Spatial distribution and performance of native and invasive Ardisia (Myrsinaceae) species in Puerto Rico: the anatomy of an invasion","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Questioned","2011","AND","Enclosure","Aliens and natives"
"Diversity, loss, and gain of malaria parasites in a globally invasive bird","All continents except Antarctica","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Birds","1","no differentiation","Observational or correlational","Supported","2011","HAI","Field","Aliens in native and invaded range"
"Remote analysis of biological invasion and the impact of enemy release","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","20","Generalists","Experimental","Supported","2011","P Ang","Enclosure","Aliens and natives"
"Phylogenetic structure predicts capitular damage to Asteraceae better than origin or phylogenetic distance to natives","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","14","no differentiation","Observational or correlational","Undecided","2011","AND","Field","Aliens and natives"
"Influence of insects and fungal pathogens on individual and population parameters of Cirsium arvense in its native and introduced ranges","Europe, North-America, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Undecided","2011","P HA","Enclosure","Aliens in native and invaded range"
"Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2011","P Ini","Enclosure","Invasive and non-invasive aliens"
"Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Undecided","2011","P HA","Enclosure","Aliens in native and invaded range"
"Species interactions contribute to the success of a global plant invader","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Supported","2011","P HA","Enclosure","Aliens in native and invaded range"
"Testing hypotheses for exotic plant success: parallel experiments in the native and introduced ranges","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Undecided","2010","P HA","Enclosure","Aliens in native and invaded range"
"Testing hypotheses for exotic plant success: parallel experiments in the native and introduced ranges","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Questioned","2010","HAD","Enclosure","Aliens in native and invaded range"
"Does release from natural belowground enemies help explain the invasiveness of Lygodium microphyllum? A cross-continental comparison","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Undecided","2010","P HA","Enclosure","Aliens in native and invaded range"
"Associations of leaf miners and leaf gallers with island plants of different residency histories","","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","49","no differentiation","Observational or correlational","Supported","2010","AND","Field","Aliens and natives"
"Reduction in post-invasion genetic diversity in Crangonyx pseudogracilis (Amphipoda: Crustacea): a genetic bottleneck or the work of hitchhiking vertically transmitted microparasites?","Europe, North-America","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Crustaceans","1","no differentiation","Observational or correlational","Questioned","2010","HAI","Field","Aliens in native and invaded range"
"Higher parasite richness, abundance and impact in native versus introduced cichlid fishes","North-America","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Fishes","1","no differentiation","Observational or correlational","Supported","2010","P AN","Field","Aliens and natives"
"Higher parasite richness, abundance and impact in native versus introduced cichlid fishes","North-America","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","1","no differentiation","Observational or correlational","Supported","2010","ANI","Field","Aliens and natives"
"Virulence of soil-borne pathogens and invasion by Prunus serotina","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Supported","2010","P A","Lab","Only aliens"
"Virulence of soil-borne pathogens and invasion by Prunus serotina","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Supported","2010","HAI","Field","Aliens in native and invaded range"
"The effects of disturbance and enemy exclusion on performance of an invasive species, common ragweed, in its native range","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2010","P A","Enclosure","Only aliens"
"Low prevalence of haemosporidian parasites in the introduced house sparrow (Passer domesticus) in Brazil","South-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Birds","1","no differentiation","Observational or correlational","Supported","2010","ANI","Field","Aliens and natives"
"Caterpillar assemblages on introduced blue spruce. differences from native Norway spruce ","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2010","ANI","Field","Aliens and natives"
"Phylogenetically structured damage to Asteraceae: susceptibility of native and exotic species to foliar herbivores","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","15","no differentiation","Observational or correlational","Supported","2010","AND","Field","Aliens and natives"
"Origin, local experience, and the impact of biotic interactions on native and introduced Senecio species","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","3","no differentiation","Experimental","Undecided","2010","P AN","Enclosure","Aliens and natives"
"Origin, local experience, and the impact of biotic interactions on native and introduced Senecio species","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","3","no differentiation","Experimental","Supported","2010","ANI","Enclosure","Aliens and natives"
"Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Supported","2010","ANI","Field","Aliens and natives"
"Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","Specialists","Observational or correlational","Supported","2010","ANDs","Field","Aliens and natives"
"Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Questioned","2010","AND","Field","Aliens and natives"
"Effects of large enemies on success of exotic species in marine fouling communities of Washington, USA","North-America","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Other invertebrates","1","no differentiation","Experimental","Questioned","2010","P AN","Enclosure","Aliens and natives"
"Enemy release and plant invasion: patterns of defensive traits and leaf damage in Hawaii","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","19","no differentiation","Observational or correlational","Undecided","2010","AND","Field","Aliens and natives"
"From seed production to seedling establishment: Important steps in an invasive process","South-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Questioned","2010","AND","Field","Aliens and natives"
"Post-dispersal seed mortality of exotic and native species: Effects of fungal pathogens and seed predators","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","6","no differentiation","Experimental","Questioned","2010","P AN","Enclosure","Aliens and natives"
"Enemy release does not increase performance of Cirsium arvense in New Zealand","Europe, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Observational or correlational","Questioned","2010","P HA","Field","Aliens in native and invaded range"
"Enemy release does not increase performance of Cirsium arvense in New Zealand","Europe, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2010","HAD","Field","Aliens in native and invaded range"
"Entomofauna of the introduced Chinese Tallow Tree","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Supported","2010","ANI","Field","Aliens and natives"
"Community structure of insect herbivores on introduced and native Solidago plants in Japan","Asia","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2010","ANI","Field","Aliens and natives"
"Host introduction and parasites: a case study on the parasite community of the peacock grouper Cephalopholis argus (Serranidae) in the Hawaiian Islands","North-America, Oceania","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","1","no differentiation","Observational or correlational","Supported","2009","HAI","Field","Aliens in native and invaded range"
"Release from native herbivores facilitates the persistence of invasive marine algae: a biogeographical comparison of the relative contribution of nutrients and herbivory to invasion success","North-America","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Algae","4","no differentiation","Experimental","Supported","2009","P HA","Enclosure","Aliens in native and invaded range"
"Release from foliar and floral fungal pathogen species does not explain the geographic spread of naturalized North American plants in Europe","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","140","no differentiation","Observational or correlational","Supported","2009","HAI","Field","Aliens in native and invaded range"
"Release from soil pathogens plays an important role in the success of invasive Carpobrotus in the Mediterranean","Africa, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","2","no differentiation","Experimental","Supported","2009","P HA","Lab","Aliens in native and invaded range"
"Plant-soil feedback induces shifts in biomass allocation in the invasive plant Chromolaena odorata","Africa, South-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2009","P HA","Lab","Aliens in native and invaded range"
"Cryptic seedling herbivory by nocturnal introduced generalists impacts survival, performance of native and exotic plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","3","Generalists","Experimental","Questioned","2009","P Ang","Enclosure","Aliens and natives"
"Cryptic seedling herbivory by nocturnal introduced generalists impacts survival, performance of native and exotic plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","6","Generalists","Experimental","Questioned","2009","ANDg","Enclosure","Aliens and natives"
"The effect of enemy-release and climate conditions on invasive birds: a regional test using the rose-ringed parakeet (Psittacula krameri) as a case study","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Birds","1","no differentiation","Observational or correlational","Supported","2009","P HA","Field","Aliens in native and invaded range"
"The effect of enemy-release and climate conditions on invasive birds: a regional test using the rose-ringed parakeet (Psittacula krameri) as a case study","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Birds","1","no differentiation","Observational or correlational","Supported","2009","HAD","Field","Aliens in native and invaded range"
"Herbivory and population dynamics of invasive and native Lespedeza","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Undecided","2009","P AN","Field","Aliens and natives"
"Herbivory and population dynamics of invasive and native Lespedeza","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Supported","2009","AND","Field","Aliens and natives"
"Acceleration of Exotic Plant Invasion in a Forested Ecosystem by a Generalist Herbivore","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","3","Generalists","Experimental","Supported","2009","P Ag","Enclosure","Only aliens"
"Testing the enemy release hypothesis: trematode parasites in the non-indigenous Manila clam Ruditapes philippinarum","Europe","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Molluscs","1","no differentiation","Observational or correlational","Undecided","2009","ANI","Field","Aliens and natives"
"Testing the enemy release hypothesis: a comparison of foliar insect herbivory of the exotic Norway maple (Acer platanoides L.) and the native sugar maple (A-saccharum L.)","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Supported","2009","ANI","Field","Aliens and natives"
"Testing the enemy release hypothesis: a comparison of foliar insect herbivory of the exotic Norway maple (Acer platanoides L.) and the native sugar maple (A-saccharum L.)","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2009","AND","Field","Aliens and natives"
"A cross-continental test of the Enemy Release Hypothesis: leaf herbivory on Acer platanoides (L.) is three times lower in North America than in its native Europe","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2009","HAD","Field","Aliens in native and invaded range"
"Effects of non-native plants on the native insect community of Delaware","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","30","Specialists","Experimental","Questioned","2008","ANIs","Enclosure","Aliens and natives"
"Effects of non-native plants on the native insect community of Delaware","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","30","Generalists","Experimental","Questioned","2008","ANIg","Enclosure","Aliens and natives"
"Effects of non-native plants on the native insect community of Delaware","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","30","no differentiation","Experimental","Undecided","2008","ANI","Enclosure","Aliens and natives"
"Diversity and abundance of arthropod floral visitor and herbivore assemblages on exotic and native Senecio species","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Supported","2008","ANI","Field","Aliens and natives"
"Test of the enemy release hypothesis: The native magpie moth prefers a native fireweed (Senecio pinnatifolius) to its introduced congener (S madagascariensis)","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2008","AND","Field","Aliens and natives"
"Novel host associations and habitats for Senecio-specialist herbivorous insects in Auckland","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","6","Specialists","Observational or correlational","Questioned","2008","ANIs","Field","Aliens and natives"
"Novel host associations and habitats for Senecio-specialist herbivorous insects in Auckland","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","2","no differentiation","Experimental","Questioned","2008","AND","Enclosure","Aliens and natives"
"Herbivores, but not other insects, are scarce on alien plants","Africa","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","9","no differentiation","Observational or correlational","Supported","2008","ANI","Field","Aliens and natives"
"Use of the introduced bivalve, Musculista senhousia, by generalist parasites of native New Zealand bivalves","Oceania","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Molluscs","1","no differentiation","Observational or correlational","Questioned","2008","P AN","Field","Aliens and natives"
"Use of the introduced bivalve, Musculista senhousia, by generalist parasites of native New Zealand bivalves","Oceania","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Molluscs","1","no differentiation","Observational or correlational","Supported","2008","ANI","Field","Aliens and natives"
"Parasite loss and introduced species: a comparison of the parasites of the Puerto Rican tree frog, (Eleutherodactylus coqui), in its native and introduced ranges","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Amphibians","1","no differentiation","Observational or correlational","Undecided","2008","HAI","Field","Aliens in native and invaded range"
"Role of plant enemies in the forestry of indigenous vs. nonindigenous pines","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2008","ANI","Field","Aliens and natives"
"Role of plant enemies in the forestry of indigenous vs. nonindigenous pines","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2008","AND","Field","Aliens and natives"
"Metazoan parasites of introduced round and tubenose gobies in the Great Lakes: Support for the "Enemy Release Hypothesis"","Asia, Europe, North-America","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","2","no differentiation","Observational or correlational","Supported","2008","HAI","Field","Aliens in native and invaded range"
"Variable effects of large mammal herbivory on three non-native versus three native woody plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","3","Generalists","Experimental","Undecided","2008","P Ang","Enclosure","Aliens and natives"
"Herbivory on invasive exotic plants and their non-invasive relatives","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","3","no differentiation","Experimental","Supported","2008","INiD","Enclosure","Invasive and non-invasive aliens"
"Comparison of damage to native and exotic tallgrass prairie plants by natural enemies","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","7","no differentiation","Observational or correlational","Supported","2008","AND","Field","Aliens and natives"
"Resistance of an invasive gastropod to an indigenous trematode parasite in Lake Malawi","Africa","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Molluscs","1","no differentiation","Observational or correlational","Supported","2008","ANI","Field","Aliens and natives"
"The invasive shrub Buddleja davidii performs better in its introduced range","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2008","HAD","Field","Aliens in native and invaded range"
"Using parasites to inform ecological history: Comparisons among three congeneric marine snails","North-America","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Molluscs","1","no differentiation","Observational or correlational","Supported","2008","ANI","Field","Aliens and natives"
"Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","4","no differentiation","Experimental","Questioned","2008","P Ini","Enclosure","Invasive and non-invasive aliens"
"Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","4","no differentiation","Experimental","Questioned","2008","INiD","Enclosure","Invasive and non-invasive aliens"
"Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","8","no differentiation","Experimental","Questioned","2008","P AN","Enclosure","Aliens and natives"
"Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","8","no differentiation","Experimental","Questioned","2008","AND","Enclosure","Aliens and natives"
"Soil feedback of exotic savanna grass relates to pathogen absence and mycorrhizal selectivity","Africa","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Supported","2007","P AN","Lab","Aliens and natives"
"When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","8","no differentiation","Experimental","Questioned","2007","P AN","Enclosure","Aliens and natives"
"When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","2","no differentiation","Experimental","Questioned","2007","INiI","Enclosure","Invasive and non-invasive aliens"
"When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","2","no differentiation","Experimental","Questioned","2007","INiD","Enclosure","Invasive and non-invasive aliens"
"When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","8","no differentiation","Experimental","Questioned","2007","ANI","Enclosure","Aliens and natives"
"When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","8","no differentiation","Experimental","Undecided","2007","AND","Enclosure","Aliens and natives"
"Experimental field comparison of native and non-native maple seedlings: natural enemies, ecophysiology, growth and survival","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2007","P AN","Enclosure","Aliens and natives"
"Experimental field comparison of native and non-native maple seedlings: natural enemies, ecophysiology, growth and survival","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Questioned","2007","AND","Enclosure","Aliens and natives"
"Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","Specialists","Observational or correlational","Questioned","2007","INiDs","Field","Invasive and non-invasive aliens"
"Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Questioned","2007","INiD","Field","Invasive and non-invasive aliens"
"Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","4","Specialists","Observational or correlational","Supported","2007","ANDs","Field","Aliens and natives"
"Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","4","no differentiation","Observational or correlational","Supported","2007","AND","Field","Aliens and natives"
"The interaction between soil nutrients and leaf loss during early 14 establishment in plant invasion","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","5","no differentiation","Experimental","Undecided","2007","P AN","Enclosure","Aliens and natives"
"The interaction between soil nutrients and leaf loss during early 14 establishment in plant invasion","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","5","no differentiation","Experimental","Undecided","2007","AND","Enclosure","Aliens and natives"
"Increased chemical resistance explains low herbivore colonization of introduced seaweed","Europe","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Algae","1","no differentiation","Observational or correlational","Supported","2006","HAI","Field","Aliens in native and invaded range"
"Increased chemical resistance explains low herbivore colonization of introduced seaweed","Europe","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Algae","1","no differentiation","Observational or correlational","Supported","2006","ANI","Field","Aliens and natives"
"Recruitment limitation, seedling performance and persistence of exotic tree monocultures","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2006","P AN","Enclosure","Aliens and natives"
"Recruitment limitation, seedling performance and persistence of exotic tree monocultures","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Experimental","Supported","2006","ANI","Enclosure","Aliens and natives"
"Recruitment limitation, seedling performance and persistence of exotic tree monocultures","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Supported","2006","AND","Enclosure","Aliens and natives"
"Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Specialists","Observational or correlational","Questioned","2006","INiIs","Field","Invasive and non-invasive aliens"
"Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2006","INiI","Field","Invasive and non-invasive aliens"
"Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","4","Specialists","Observational or correlational","Supported","2006","ANIs","Field","Aliens and natives"
"Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","4","no differentiation","Observational or correlational","Questioned","2006","ANI","Field","Aliens and natives"
"Geographic patterns of herbivory and resource allocation to defense, growth, and reproduction in an invasive biennial, Alliaria petiolata","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Supported","2006","HAD","Enclosure","Aliens in native and invaded range"
"Native parasites adopt introduced bivalves of the North Sea","Europe","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Molluscs","2","no differentiation","Observational or correlational","Supported","2006","ANI","Field","Aliens and natives"
"Prevalence and evolutionary relationships of haematozoan parasites in native versus introduced populations of common myna Acridotheres tristis","Africa, Asia, North-America, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Birds","1","no differentiation","Observational or correlational","Undecided","2006","HAI","Field","Aliens in native and invaded range"
"Phytophagous insects of giant hogweed Heracleum mantegazzianum (Apiaceae) in invaded areas of Europe and in its native area of the Caucasus","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Specialists","Observational or correlational","Supported","2006","HAIs","Field","Aliens in native and invaded range"
"Limited grazing pressure by native herbivores on the invasive seaweed Caulerpa taxifolia in a temperate Australian estuary","Oceania","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Algae","1","no differentiation","Observational or correlational","Undecided","2006","ANI","Field","Aliens and natives"
"Biogeographical comparison of the arthropod herbivore communities associated with Lepidium draba in its native, expanded and introduced ranges","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Specialists","Observational or correlational","Supported","2006","HAIs","Field","Aliens in native and invaded range"
"Biogeographical comparison of the arthropod herbivore communities associated with Lepidium draba in its native, expanded and introduced ranges","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Generalists","Observational or correlational","Questioned","2006","HAIg","Field","Aliens in native and invaded range"
"Biogeographical comparison of the arthropod herbivore communities associated with Lepidium draba in its native, expanded and introduced ranges","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2006","HAI","Field","Aliens in native and invaded range"
"Evidence for the enemy release hypothesis in Hypericum perforatum","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2005","HAD","Field","Aliens in native and invaded range"
